name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Daley_Blind,0,0,0,0,0,0,0,351,0,21542,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,2,10547,0
Damian Emiliano_Martinez,0,0,0,0,0,0,0,351,0,21985,0,0,0,0,11,0,0,0,0,0,36,0,0,0,0,0,2,5086,0
Damian Emiliano_Martinez,0,0,0,0,0,0,0,257,0,21984,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,2,0,5086,0
Damien_Delaney,3,0,0,0,3,0,0,358,1,21395,0,15,0,0,10,0,0,0,1,0,36,0,0,1,0,0,5,42,1
Daniel_Agyei,0,0,0,0,0,0,0,353,0,21977,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,2,2,28,0
Daniel_Amartey,0,0,0,0,0,0,0,356,0,21470,0,0,0,0,18,0,0,0,0,0,36,0,0,0,0,0,3,68,0
Daniel_Ayala,0,0,0,0,0,0,0,354,0,21563,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,7,0
Daniel_Drinkwater,41,0,0,4,32,0,0,356,0,21467,0,66,0,0,18,0,0,0,9,0,36,0,1,0,1,0,3,606,0
Daniel_James,0,0,0,0,0,0,0,359,0,21920,0,0,0,0,6,0,0,0,0,0,36,0,0,0,0,0,1,9,0
Daniel_Lafferty,0,0,0,0,0,0,0,353,0,21813,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,2,2,8,0
Daniel_Sturridge,8,0,0,0,8,2,0,357,0,21502,3,22,0,0,13,0,0,0,0,0,36,0,2,0,1,0,0,181,0
Danny_Ings,0,0,0,0,0,0,0,357,0,21504,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,0,0,18,0
Danny_Rose,0,0,0,0,0,0,0,360,0,21691,0,0,0,0,20,0,0,0,0,0,36,0,0,0,0,0,1,174,0
Danny_Simpson,22,0,0,6,19,0,0,356,2,21460,0,90,0,1,18,0,0,0,3,0,36,0,0,3,0,0,3,2356,0
Danny_Welbeck,9,0,0,2,9,0,0,351,0,21311,0,83,1,0,11,0,0,0,1,0,36,0,3,0,0,0,2,5650,0
Danny_Welbeck,18,0,0,1,12,0,0,257,0,21310,0,79,0,0,13,0,0,0,0,0,36,0,0,0,1,2,0,5650,0
Dan_Gosling,0,0,0,0,0,0,0,352,0,21330,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,15,0
Darren_Fletcher,24,0,0,3,16,0,0,353,1,21747,1,90,0,0,3,0,0,0,4,0,36,0,1,0,0,2,2,3028,0
Darren_Randolph,0,0,0,0,0,0,0,360,0,21759,0,0,0,0,17,0,0,0,0,0,36,0,0,0,0,0,1,102,0
Darron_Gibson,0,0,0,0,0,0,0,355,0,21426,0,0,0,0,7,0,0,0,0,0,36,0,0,0,0,2,0,2,0
Daryl_Janmaat,44,0,0,3,40,3,0,356,2,21852,1,90,1,1,8,0,0,0,8,0,36,0,4,2,0,0,3,840,0
David_de Gea,32,0,0,0,19,0,0,351,0,21530,0,90,0,0,1,0,0,0,5,0,36,2,0,0,0,0,2,6809,0
David_Jones,0,0,0,0,0,0,0,353,0,21348,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,2,2,1,0
David_Luiz Moreira Marinho,36,0,0,3,34,3,0,354,0,21885,0,83,0,0,12,0,0,0,8,0,36,0,0,1,2,0,3,2601,0
David_Marshall,0,0,0,0,0,0,0,355,0,21868,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,22,0
David_Meyler,0,0,0,0,0,0,0,355,0,21449,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,4,0
David_Nugent,0,0,0,0,0,0,0,354,0,21579,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,6,0
